cif_id,Binding_energy,Energy_barrier,prime_struct
Ni_1_1_1,1,0.39,Ni_mp-23_primitive
InNi2_1_1_0,0.69,0.53,InNi2_mp-21092_primitive
InNi3_1_1_1,0.9,0.61,InNi3_mp-22784_primitive
In3Ni2_1_1_0,0.52,0.4,In3Ni2_mp-21385_primitive
GaNi_1_1_0,0.34,0.39,GaNi_mp-1941_primitive
GaNi_2_0_0,1.1,0.25,GaNi_mp-1941_primitive
Ga3Ni2_1_1_0,0.6,0.35,Ga3Ni2_mp-11397_primitive
ZnNi3_1_1_1,1.06,0.49,ZnNi3_mp-971758_primitive
ZnNi_1_1_0,0.91,0.41,ZnNi_mp-1486_primitive
ZnNi_1_0_1,0.69,0.45,ZnNi_mp-1486_primitive
Ni3Sb_1_1_1,0.57,0.56,Ni3Sb_mp-976847_primitive
NiSb_1_0_2,0.38,0.41,NiSb_mp-810_primitive
NiBi_1_0_1,0.38,0.45,NiBi_mp-999318_primitive
Ni3Sn_2_0_1,1.71,0.48,Ni3Sn_mp-20112_primitive
Ni3Sn4_1_1_1,0.6,0.28,Ni3Sn4_mp-20174_primitive
FeNi_1_0_1,0.8,0.34,FeNi_mp-2213_primitive
Ni3Ge_1_1_1,1.18,0.49,Ni3Ge_mp-21008_primitive
CuNi_1_0_0,1.34,0.38,CuNi_mp-1225695_primitive
Ni3Pb_1_1_1,0.55,0.6,Ni3Pb_mp-976830_primitive
CoNi3_1_1_1,0.82,0.35,CoNi3_mp-1183751_primitive
CoNi_1_1_0,2.26,0.36,CoNi_mp-1006883_primitive
CrNi3_1_1_1,1.09,0.43,CrNi3_mp-1007974_primitive
TcNi_1_-1_1,1.48,0.34,TcNi_mp-1217408_primitive
TlNi_1_0_1,0.79,0.4,TlNi_mp-11524_primitive
MnNi3_1_1_1,1,0.48,MnNi3_mp-11501_primitive
VNi3_1_0_2,1,0.37,VNi3_mp-1216314_primitive
Ni4W_1_0_1,1.04,0.45,Ni4W_mp-30811_primitive
Ni3Ag_1_1_0,1.01,0.46,Ni3Ag_mp-1100764_primitive
Ni3Mo_1_1_2,1.2,0.55,Ni3Mo_mp-11506_primitive
TiNi_1_1_0,0.81,0.44,TiNi_mp-571_primitive
ZrNi3_2_-2_1,1.25,0.33,ZrNi3_mp-485_primitive
TaNi3_0_2_-1,0.73,0.44,TaNi3_mp-570491_primitive
AlNi_1_1_0,0.25,0.34,AlNi_mp-1487_primitive
AlNi3_2_0_0,0.9,0.7,AlNi3_mp-2593_primitive
AlNi_1_0_1,0.37,0.35,AlNi_mp-1487_primitive
HfNi_1_0_1,1.03,0.33,HfNi_mp-1018056_primitive
CdNi_2_-1_2,1.43,0.52,CdNi_mp-985556_primitive
Cd3Ni_1_1_1,0.4,0.35,Cd3Ni_mp-1183624_primitive
