cif_id,Binding_energy,Energy_barrier,prime_struct
AlNi3_mp-2593_primitive_111,0,0,AlNi3_mp-2593_primitive_111
AlNi3_mp-2593_primitive_221,0,0,AlNi3_mp-2593_primitive_221
AlNi3_mp-2593_primitive_110,0,0,AlNi3_mp-2593_primitive_110
AlNi3_mp-2593_primitive_211,0,0,AlNi3_mp-2593_primitive_211
AlNi3_mp-2593_primitive_210,0,0,AlNi3_mp-2593_primitive_210
AlNi3_mp-2593_primitive_100,0,0,AlNi3_mp-2593_primitive_100
AlNi_mp-1487_primitive_111,0,0,AlNi_mp-1487_primitive_111
AlNi_mp-1487_primitive_221,0,0,AlNi_mp-1487_primitive_221
AlNi_mp-1487_primitive_110,0,0,AlNi_mp-1487_primitive_110
AlNi_mp-1487_primitive_211,0,0,AlNi_mp-1487_primitive_211
AlNi_mp-1487_primitive_210,0,0,AlNi_mp-1487_primitive_210
AlNi_mp-1487_primitive_100,0,0,AlNi_mp-1487_primitive_100
Ca4Ni_mp-1214129_primitive_111,0,0,Ca4Ni_mp-1214129_primitive_111
Ca4Ni_mp-1214129_primitive_221,0,0,Ca4Ni_mp-1214129_primitive_221
Ca4Ni_mp-1214129_primitive_110,0,0,Ca4Ni_mp-1214129_primitive_110
Ca4Ni_mp-1214129_primitive_22-1,0,0,Ca4Ni_mp-1214129_primitive_22-1
Ca4Ni_mp-1214129_primitive_211,0,0,Ca4Ni_mp-1214129_primitive_211
Ca4Ni_mp-1214129_primitive_21-1,0,0,Ca4Ni_mp-1214129_primitive_21-1
Ca4Ni_mp-1214129_primitive_21-2,0,0,Ca4Ni_mp-1214129_primitive_21-2
Ca4Ni_mp-1214129_primitive_20-1,0,0,Ca4Ni_mp-1214129_primitive_20-1
Ca4Ni_mp-1214129_primitive_2-1-1,0,0,Ca4Ni_mp-1214129_primitive_2-1-1
CaNi2_mp-2295_primitive_111,0,0,CaNi2_mp-2295_primitive_111
CaNi2_mp-2295_primitive_221,0,0,CaNi2_mp-2295_primitive_221
CaNi2_mp-2295_primitive_110,0,0,CaNi2_mp-2295_primitive_110
CaNi2_mp-2295_primitive_22-1,0,0,CaNi2_mp-2295_primitive_22-1
CaNi2_mp-2295_primitive_211,0,0,CaNi2_mp-2295_primitive_211
CaNi2_mp-2295_primitive_21-1,0,0,CaNi2_mp-2295_primitive_21-1
CaNi2_mp-2295_primitive_21-2,0,0,CaNi2_mp-2295_primitive_21-2
CaNi2_mp-2295_primitive_20-1,0,0,CaNi2_mp-2295_primitive_20-1
