cif_id,Binding_energy,Energy_barrier,prime_struct
NiSb2_0_1_2,0.11,0.51,NiSb2_mp-19895_primitive
Ga3Ni2_0_0_1,0.63,1.03,Ga3Ni2_mp-11397_primitive
In3Ni2_0_0_1,0.45,0.78,In3Ni2_mp-21385_primitive
InNi_1_1_0,0.29,0.47,InNi_mp-20997_primitive
AlNi_2_1_0,0.28,0.46,AlNi_mp-1487_primitive
Ni3Bi_1_1_1,0.46,0.59,Ni3Bi_mp-976799_primitive
Ni3Bi_1_1_0,0.65,0.75,Ni3Bi_mp-976799_primitive
GaNi_2_1_0,0.23,0.3,GaNi_mp-1941_primitive
Ni3Pb_1_1_0,0.69,0.74,Ni3Pb_mp-976830_primitive
NiSb_1_0_1,0.31,0.35,NiSb_mp-810_primitive
Ni3Pb_2_2_1,0.51,0.55,Ni3Pb_mp-976830_primitive
Ni3Bi_2_2_1,0.5,0.52,Ni3Bi_mp-976799_primitive
Ni3Sb_1_1_0,0.68,0.68,Ni3Sb_mp-10260_primitive
NiBi_1_0_2,0.47,0.47,NiBi_mp-999318_primitive
NiPb_1_0_2,0.65,0.61,NiPb_mp-569446_primitive
Ni3Sb_2_2_1,0.55,0.47,Ni3Sb_mp-10260_primitive
NiPb_1_0_1,0.63,0.49,NiPb_mp-569446_primitive
Ga3Ni5_2_0_1,0.7,0.53,Ga3Ni5_mp-11398_primitive
GaNi_2_2_1,0.67,0.38,GaNi_mp-1941_primitive
AlNi_2_2_1,0.72,0.38,AlNi_mp-1487_primitive
GaNi_2_1_1,0.71,0.35,GaNi_mp-1941_primitive
AlNi3_1_1_1,0.84,0.44,AlNi3_mp-2593_primitive
In3Ni2_1_0_0,0.84,0.41,In3Ni2_mp-21385_primitive
NiPb_1_1_0,0.81,0.35,NiPb_mp-569446_primitive
Ni3Sb_2_1_1,1.18,0.65,Ni3Sb_mp-10260_primitive
NiBi_1_1_0,0.83,0.26,NiBi_mp-999318_primitive
InNi2_1_0_2,1.24,0.67,InNi2_mp-21092_primitive
GaNi_1_1_1,0.89,0.3,GaNi_mp-1941_primitive
GaNi3_1_1_1,1.1,0.51,GaNi3_mp-815_primitive
NiSb_1_1_0,0.77,0.16,NiSb_mp-810_primitive
Ni3Pb_2_1_0,1.35,0.74,Ni3Pb_mp-976830_primitive
AlNi_1_0_0,1.03,0.41,AlNi_mp-1487_primitive
AlNi_1_1_1,0.99,0.37,AlNi_mp-1487_primitive
GaNi_1_0_0,1.08,0.44,GaNi_mp-1941_primitive
AlNi_2_1_1,1.12,0.39,AlNi_mp-1487_primitive
Ga3Ni2_1_0_0,1.0,0.2,Ga3Ni2_mp-11397_primitive
Ni3Bi_2_1_0,1.43,0.56,Ni3Bi_mp-976799_primitive
Ga7Ni3_2_2_1,1.2,0.32,Ga7Ni3_mp-16852_primitive
Ni3Pb_2_1_1,1.11,0.14,Ni3Pb_mp-976830_primitive
Ni3Bi_2_1_1,1.76,0.56,Ni3Bi_mp-976799_primitive
