Crystals,v_Binding_energy_mean,v_Binding_energy_std,v_Energy_barrier_mean,v_Energy_barrier_std,std,M,UB,LB,CDF
NiSb2_mp-19895_primitive_012,0.106876,0,0.510948,0,0,0.404072,0.404072,0.404072,0
Ga3Ni2_mp-11397_primitive_001,0.633361,0,1.027653,0,0,0.394292,0.394292,0.394292,0
In3Ni2_mp-21385_primitive_001,0.449777,0,0.779114,0,0,0.329337,0.329337,0.329337,0
NiSb3_mp-1106023_primitive_11-1,0.283665781,0.096761741,0.477822584,0.023121309,0.099485826,0.194156803,0.293642629,0.094670978,0.874405878
NiBi3_mp-23179_primitive_100,0.289276937,0.042645478,0.471618074,0.012222255,0.044362375,0.182341138,0.226703512,0.137978763,0.989470792
InNi_mp-20997_primitive_110,0.29,0,0.47,0,0,0.18,0.18,0.18,0
Ta5Ni_mp-1191664_primitive_20-1,0.267646374,0.225643658,0.447081724,0.024438981,0.226963266,0.17943535,0.406398616,-0.047527916,0.669347483
NiSb2_mp-19895_primitive_010,0.276920465,0.075519075,0.455147216,0.020003088,0.078123327,0.178226751,0.256350078,0.100103424,0.895682797
AlNi_mp-1487_primitive_210,0.282213,0,0.457171,0,0,0.174958,0.174958,0.174958,0
In9Ni13_mp-641509_primitive_1-11,0.311576766,0.067883569,0.483559993,0.017167259,0.070020666,0.171983227,0.242003893,0.101962561,0.905519384
Ta5Ni_mp-1191664_primitive_21-1,0.26869882,0.16676418,0.429256171,0.023873593,0.168464358,0.160557351,0.329021709,-0.007907008,0.683741198
Ni3Sn2_mp-669720_primitive_011,0.373533683,0.107519069,0.524483371,0.042492984,0.115611435,0.150949688,0.266561123,0.035338253,0.730290206
NiSb2_mp-19895_primitive_212,0.266777882,0.075543519,0.417707686,0.017329418,0.07750569,0.150929804,0.228435494,0.073424114,0.819945153
NiBi3_mp-23179_primitive_021,0.322186539,0.074845869,0.470948309,0.011639057,0.075745441,0.14876177,0.224507211,0.073016329,0.818008256
NiBi3_mp-23179_primitive_012,0.305448222,0.078752273,0.452856742,0.014169715,0.080016882,0.14740852,0.227425401,0.067391638,0.80022599
Ta5Ni_mp-1191664_primitive_221,0.282793976,0.138324543,0.428940351,0.019736153,0.139725427,0.146146375,0.285871801,0.006420948,0.682036999
NiBi3_mp-23179_primitive_010,0.313914451,0.063309465,0.457814735,0.014115976,0.064864082,0.143900284,0.208764366,0.079036202,0.837722658
NiBi3_mp-23179_primitive_101,0.295634551,0.085724331,0.433238187,0.017221619,0.087437092,0.137603636,0.225040728,0.050166544,0.744988189
Ta5Ni_mp-1191664_primitive_2-1-1,0.291579705,0.115140513,0.422500095,0.021544877,0.117138889,0.130920389,0.248059279,0.0137815,0.668110255
NiBi3_mp-23179_primitive_212,0.319834559,0.075087983,0.449384297,0.012938656,0.07619458,0.129549739,0.205744319,0.053355159,0.742252481
Ni3Bi_mp-976799_primitive_111,0.463445,0,0.587174,0,0,0.123729,0.123729,0.123729,0
NiBi3_mp-23179_primitive_210,0.32487815,0.07670649,0.443412143,0.011736932,0.077599234,0.118533993,0.196133227,0.040934759,0.690256303
Ni3Sb_mp-672371_primitive_211,0.453776637,0.057334134,0.569292963,0.026960664,0.06335677,0.115516326,0.178873095,0.052159556,0.712456914
NiBi3_mp-23179_primitive_102,0.337465405,0.090929656,0.445903409,0.019479425,0.092992744,0.108438003,0.201430747,0.015445259,0.620124901
NiBi3_mp-23179_primitive_011,0.405723506,0.067764956,0.513637725,0.021543289,0.07110698,0.107914218,0.179021198,0.036807239,0.652680158
NiBi3_mp-23179_primitive_110,0.338008977,0.089409594,0.44566856,0.020132969,0.091648305,0.107659583,0.199307888,0.016011277,0.618598251
NiBi3_mp-23179_primitive_201,0.328827147,0.081396328,0.436216177,0.013382412,0.082489097,0.10738903,0.189878127,0.024899932,0.630067497
Ta5Ni_mp-1191664_primitive_110,0.318109529,0.185355609,0.424982628,0.030711992,0.187882751,0.1068731,0.294755851,-0.081009652,0.556867238
GaNi2_mp-1224858_primitive_001,0.70281629,0.048510122,0.8077277,0.088897304,0.101271726,0.104911411,0.206183137,0.003639684,0.597153404
Ta2Ni_mp-1101992_primitive_102,0.310753734,0.095357746,0.413304198,0.016035322,0.096696594,0.102550463,0.199247057,0.00585387,0.59220023
Ta5Ni_mp-1191664_primitive_22-1,0.322696705,0.142187043,0.423885734,0.035927118,0.146655764,0.101189029,0.247844793,-0.045466735,0.557439826
Ni3Bi_mp-976799_primitive_110,0.64566,0,0.746811,0,0,0.101151,0.101151,0.101151,0
NiBi3_mp-23179_primitive_120,0.416848597,0.065454437,0.514613912,0.018405359,0.067992945,0.097765315,0.165758259,0.02977237,0.603062374
NiBi3_mp-23179_primitive_221,0.347133151,0.058024942,0.444395694,0.013798742,0.059643099,0.097262543,0.156905642,0.037619445,0.613874096
NiBi3_mp-23179_primitive_211,0.34143438,0.093387171,0.434592569,0.016895556,0.094903233,0.093158188,0.188061421,-0.001745044,0.555136032
NiBi3_mp-23179_primitive_112,0.394632752,0.089270519,0.485802965,0.018773631,0.091223214,0.091170213,0.182393427,-5.30014E-05,0.548728375
AlNi_mp-1487_primitive_110,0.25,0,0.34,0,0,0.09,0.09,0.09,0
Ta5Ni_mp-1191664_primitive_211,0.326966384,0.147786078,0.413439566,0.040563039,0.153251704,0.086473182,0.239724886,-0.066778522,0.51684587
Ta2Ni_mp-1867_primitive_102,0.323439497,0.137356598,0.401271135,0.020620711,0.13889582,0.077831638,0.216727458,-0.061064182,0.493772194
GaNi_mp-1941_primitive_210,0.228118,0,0.304251,0,0,0.076133,0.076133,0.076133,0
NiBi3_mp-23179_primitive_111,0.338873973,0.064274056,0.413909166,0.015457486,0.066106642,0.075035192,0.141141834,0.00892855,0.470066376
NiSb2_mp-19895_primitive_021,0.337188694,0.078044385,0.411875512,0.02940355,0.083399609,0.074686818,0.158086427,-0.008712791,0.474601559
NiSb2_mp-19895_primitive_101,0.349496752,0.059380193,0.422886895,0.015493611,0.061368227,0.073390143,0.13475837,0.012021915,0.457113608
NiBi_mp-999318_primitive_101,0.38,0,0.45,0,0,0.07,0.07,0.07,0
Ta2Ni_mp-1101992_primitive_101,0.342872295,0.127009178,0.410980776,0.014887362,0.127878712,0.068108481,0.195987193,-0.05977023,0.462955512
In9Ni13_mp-641509_primitive_1-1-1,0.465541771,0.097712078,0.530206862,0.025295093,0.100933106,0.064665091,0.165598197,-0.036268015,0.439620518
NiBi3_mp-23179_primitive_122,0.447600253,0.077650008,0.509105934,0.02122024,0.080497344,0.061505681,0.142003025,-0.018991663,0.409142759
Ni3Pb_mp-976830_primitive_110,0.685196,0,0.742886,0,0,0.05769,0.05769,0.05769,0
Ta2Ni_mp-1101992_primitive_210,0.341533685,0.106115619,0.398971942,0.021989101,0.108369946,0.057438257,0.165808203,-0.050931688,0.417539574
Ta5Ni_mp-1191664_primitive_21-2,0.36123632,0.130048261,0.413269982,0.015583822,0.130978646,0.052033661,0.183012307,-0.078944985,0.415461356
GaNi_mp-1941_primitive_110,0.34,0,0.39,0,0,0.05,0.05,0.05,0
Ni3Pb_mp-976830_primitive_111,0.55,0,0.6,0,0,0.05,0.05,0.05,0
Zn22Ni3_mp-1207504_primitive_1-1-1,0.366660273,0.054637708,0.416521153,0.014221897,0.056458316,0.04986088,0.106319196,-0.006597436,0.296729717
NiSb2_mp-19895_primitive_112,0.371048295,0.076357169,0.419284992,0.017580765,0.078354965,0.048236696,0.126591661,-0.030118269,0.342600194
Zn22Ni3_mp-1207504_primitive_2-2-1,0.362556572,0.054491053,0.406082848,0.010969943,0.055584301,0.043526275,0.099110576,-0.012058025,0.255851738
Ta2Ni_mp-1101992_primitive_221,0.377136505,0.10322501,0.418461062,0.010743786,0.103782617,0.041324557,0.145107175,-0.06245806,0.354701428
NiSb_mp-810_primitive_101,0.309,0,0.347542,0,0,0.038542,0.038542,0.038542,0
Cd5Ni_mp-1229280_primitive_111,0.348385328,0.07621682,0.38506218,0.020852463,0.079017902,0.036676852,0.115694755,-0.04234105,0.291753252
Ni5Sb2_mp-2409_primitive_101,0.421679169,0.048544039,0.457210551,0.012217581,0.050057897,0.035531382,0.085589279,-0.014526514,0.187177947
Ni3Pb_mp-976830_primitive_221,0.513659,0,0.548152,0,0,0.034493,0.034493,0.034493,0
NiSb2_mp-19895_primitive_001,0.372597149,0.053068287,0.403323732,0.02808255,0.060040592,0.030726583,0.090767176,-0.029314009,0.205917588
Ta2Ni_mp-1101992_primitive_212,0.396804936,0.114204859,0.426823981,0.014135974,0.11507639,0.030019045,0.145095435,-0.085057346,0.332024958
NiSb_mp-810_primitive_102,0.38,0,0.41,0,0,0.03,0.03,0.03,0
Zn22Ni3_mp-1207504_primitive_20-1,0.385402313,0.069828054,0.41341912,0.009247913,0.070437782,0.028016807,0.098454589,-0.042420975,0.23025675
Ta2Ni_mp-1101992_primitive_111,0.357585262,0.111023502,0.385245337,0.015612319,0.112115844,0.027660075,0.139775919,-0.084455769,0.320307929
NiSb2_mp-19895_primitive_122,0.354477735,0.111638005,0.379041658,0.040571173,0.118781582,0.024563923,0.143345505,-0.094217658,0.320355119
Zn11Ni2_mp-11532_primitive_21-1,0.389858218,0.05643772,0.413572583,0.010861441,0.05747336,0.023714365,0.081187725,-0.033758995,0.163707406
Ni3Bi_mp-976799_primitive_221,0.499499,0,0.523188,0,0,0.023689,0.023689,0.023689,0
TaNi_mp-1217954_primitive_10-1,0.388699412,0.062663211,0.410590535,0.01487455,0.064404427,0.021891123,0.08629555,-0.042513304,0.183462111
Ta2Ni_mp-1101992_primitive_211,0.372853716,0.101047178,0.394360408,0.016704062,0.102418543,0.021506692,0.123925235,-0.08091185,0.283959054
Zn22Ni3_mp-1207504_primitive_101,0.391648573,0.065994562,0.412914202,0.01027384,0.066789475,0.021265629,0.088055104,-0.045523846,0.189593407
Zn22Ni3_mp-1207504_primitive_2-12,0.365683094,0.05199293,0.38642544,0.008499721,0.05268311,0.020742346,0.073425456,-0.031940763,0.130338136
Ta2Ni_mp-1101992_primitive_110,0.383897802,0.071815368,0.403005961,0.00964993,0.072460804,0.019108158,0.091568963,-0.053352646,0.20035839
Ta2Ni_mp-1101992_primitive_001,0.386509454,0.118598403,0.40301868,0.01901941,0.120113776,0.016509226,0.136623002,-0.10360455,0.298545431
Zn22Ni3_mp-1207504_primitive_210,0.377577539,0.057176789,0.393427512,0.013054389,0.058648123,0.015849973,0.074498096,-0.042798149,0.137018696
Ta2Ni_mp-1867_primitive_211,0.380709201,0.173280488,0.396528271,0.024982112,0.17507208,0.01581907,0.19089115,-0.159253011,0.356959758
Zn22Ni3_mp-1207504_primitive_2-21,0.396820153,0.066688272,0.412317839,0.012158479,0.067787567,0.015497686,0.083285253,-0.052289881,0.170666161
Ta2Ni_mp-1867_primitive_210,0.394648649,0.136089549,0.408347566,0.022228789,0.137893018,0.013698918,0.151591936,-0.124194101,0.315323863
Zn22Ni3_mp-1207504_primitive_001,0.37068872,0.049240558,0.384080224,0.014449363,0.051316826,0.013391504,0.06470833,-0.037925323,0.09714616
Zn22Ni3_mp-1207504_primitive_1-11,0.395119402,0.052045811,0.407671365,0.012411287,0.053505201,0.012551963,0.066057164,-0.040953238,0.103728587
Ni3Sb_mp-672371_primitive_101,0.451445198,0.068696189,0.463307738,0.013940573,0.070096404,0.01186254,0.081958945,-0.058233864,0.165511951
Ta2Ni_mp-1867_primitive_22-1,0.377430004,0.105601305,0.38656994,0.020917894,0.107653118,0.009139936,0.116793054,-0.098513183,0.255196512
Cd5Ni_mp-1229280_primitive_110,0.377300093,0.060791411,0.386311282,0.016509321,0.06299328,0.00901119,0.072004469,-0.05398209,0.129886731
Ni3Sb_mp-10260_primitive_110,0.676545,0,0.684617,0,0,0.008072,0.008072,0.008072,0
InNi_mp-19876_primitive_101,0.432149135,0.095690098,0.440049864,0.023752117,0.098593904,0.00790073,0.106494633,-0.090693174,0.232305557
Zn22Ni3_mp-1207504_primitive_212,0.393483576,0.076354906,0.400697611,0.01216908,0.07731855,0.007214035,0.084532585,-0.070104515,0.173255648
Zn22Ni3_mp-1207504_primitive_2-11,0.391215594,0.070513122,0.398041153,0.009471058,0.071146337,0.006825559,0.077971896,-0.064320778,0.151855914
NiBi_mp-1220533_primitive_2-21,0.44027036,0.056402933,0.446082978,0.013887085,0.058087365,0.005812618,0.063899983,-0.052274747,0.100771294
In9Ni13_mp-641509_primitive_2-11,0.462405474,0.057324123,0.467067449,0.014956908,0.059243263,0.004661974,0.063905237,-0.054581289,0.101744761
InNi_mp-19876_primitive_100,0.446749583,0.063083013,0.451368546,0.023304417,0.067249999,0.004618964,0.071868963,-0.062631036,0.131163594
In9Ni13_mp-641509_primitive_112,0.52933227,0.090865852,0.533775085,0.028599618,0.095260386,0.004442815,0.099703202,-0.090817571,0.213840908
InNi_mp-20997_primitive_211,0.434819421,0.091572576,0.439246038,0.018932904,0.093509312,0.004426616,0.097935929,-0.089082696,0.209490322
Ta2Ni_mp-1867_primitive_2-11,0.37452056,0.091001897,0.378368399,0.023946467,0.094099833,0.003847839,0.097947671,-0.090251994,0.209179961
NiSb2_mp-19895_primitive_121,0.38537612,0.050678257,0.387132306,0.026830453,0.057342471,0.001756187,0.059098658,-0.055586284,0.086205096
Zn22Ni3_mp-1207504_primitive_111,0.379474595,0.056326047,0.379655784,0.01378603,0.057988604,0.000181189,0.058169793,-0.057807415,0.08434012
In3Ni7_mp-1213091_primitive_201,0.612472594,0.115163675,0.612377208,0.026640951,0.118204959,-9.53853E-05,0.118109574,-0.118300344,0.249013464
Cd3Ni_mp-1183624_primitive_211,0.372518201,0.041223482,0.370691383,0.014238391,0.043613154,-0.001826818,0.041786336,-0.045439973,0.030314197
NiBi_mp-999318_primitive_102,0.468556,0,0.466626,0,0,-0.00193,-0.00193,-0.00193,0
Zn22Ni3_mp-1207504_primitive_10-1,0.413515918,0.073684835,0.410654244,0.012950588,0.074814254,-0.002861674,0.07195258,-0.077675928,0.134024791
NiSb2_mp-19895_primitive_201,0.367460722,0.079761738,0.36428116,0.033667355,0.086576127,-0.003179562,0.083396564,-0.089755689,0.168334444
Zn11Ni2_mp-11532_primitive_11-1,0.416337232,0.066307609,0.408493517,0.011569884,0.067309444,-0.007843715,0.059465729,-0.075153159,0.095934054
Zn22Ni3_mp-1207504_primitive_211,0.40234706,0.055907168,0.394377679,0.008381477,0.056531943,-0.007969381,0.048562562,-0.064501324,0.059842107
Zn22Ni3_mp-1207504_primitive_100,0.388487722,0.047655571,0.380099605,0.007565767,0.048252401,-0.008388117,0.039864284,-0.056640518,0.033491587
TaNi_mp-1217954_primitive_21-2,0.451150133,0.0674187,0.442457268,0.008358542,0.067934868,-0.008692865,0.059242003,-0.076627734,0.09585157
Zn22Ni3_mp-1207504_primitive_102,0.404158252,0.077684923,0.395313105,0.014925741,0.079105783,-0.008845147,0.070260636,-0.087950931,0.130693642
Ni3Sb_mp-10260_primitive_111,0.570378,0,0.560996,0,0,-0.009382,-0.009382,-0.009382,0
Ni3Sb_mp-976847_primitive_111,0.57,0,0.56,0,0,-0.01,-0.01,-0.01,0
Ta2Ni_mp-1867_primitive_101,0.415804978,0.135919533,0.404729261,0.024898329,0.138181208,-0.011075717,0.127105491,-0.149256926,0.254914656
Ta2Ni_mp-1867_primitive_2-12,0.406052586,0.123088689,0.394774057,0.021011334,0.124869138,-0.011278529,0.113590608,-0.136147667,0.232391558
Ta2Ni_mp-1101992_primitive_2-12,0.393403196,0.096101959,0.381711866,0.0227279,0.098752944,-0.01169133,0.087061613,-0.110444274,0.176576176
Ta2Ni_mp-1867_primitive_2-21,0.384241621,0.097566665,0.37162215,0.013540024,0.098501707,-0.012619472,0.085882235,-0.111121179,0.173536232
Cd5Ni_mp-1229280_primitive_211,0.384399335,0.059436469,0.371588217,0.016471044,0.061676487,-0.012811118,0.048865369,-0.074487606,0.066187043
Ta2Ni_mp-1867_primitive_21-1,0.423129024,0.120280757,0.409195307,0.019433909,0.121840623,-0.013933717,0.107906906,-0.135774339,0.220366609
Zn22Ni3_mp-1207504_primitive_201,0.41392124,0.05650241,0.399647079,0.014485954,0.058329796,-0.014274161,0.044055636,-0.072603957,0.053022679
Zn22Ni3_mp-1207504_primitive_21-1,0.410025692,0.052232405,0.395731233,0.014817186,0.054293398,-0.014294459,0.03999894,-0.068587857,0.041215005
Zn11Ni2_mp-11532_primitive_110,0.411673638,0.06904234,0.396567461,0.009241194,0.069658053,-0.015106177,0.054551876,-0.084764231,0.086074795
Zn22Ni3_mp-1207504_primitive_1-1-2,0.407651924,0.06107691,0.39233634,0.008984415,0.061734177,-0.015315583,0.046418594,-0.07704976,0.061298063
Zn22Ni3_mp-1207504_primitive_1-10,0.397113964,0.058912063,0.379802974,0.012008617,0.060123523,-0.01731099,0.042812532,-0.077434513,0.05277553
Ta2Ni_mp-1867_primitive_11-1,0.404244815,0.119150418,0.386722116,0.023569646,0.121459254,-0.017522699,0.103936555,-0.138981953,0.211008978
Cd5Ni_mp-1229280_primitive_221,0.395420018,0.060504102,0.377531081,0.014682706,0.062260166,-0.017888936,0.044371229,-0.080149102,0.057945565
Ta2Ni_mp-1101992_primitive_201,0.423818712,0.124726159,0.404943269,0.015825885,0.125726184,-0.018875442,0.106850741,-0.144601626,0.21580641
Cd5Ni_mp-1229280_primitive_210,0.403532229,0.05909814,0.383639638,0.012692692,0.060445799,-0.019892591,0.040553207,-0.08033839,0.049206377
Zn11Ni2_mp-11532_primitive_221,0.421747786,0.064898782,0.400261039,0.013868285,0.066364006,-0.021486747,0.044877258,-0.087850753,0.063102002
NiBi_mp-1220533_primitive_2-2-1,0.456518434,0.042344975,0.434364423,0.013769809,0.044527571,-0.022154011,0.02237356,-0.066681582,0.010890243
Ta2Ni_mp-1867_primitive_112,0.418014519,0.088482504,0.393979551,0.015734251,0.089870574,-0.024034968,0.065835606,-0.113905542,0.123511857
Zn22Ni3_mp-1207504_primitive_2-1-1,0.418893042,0.061727791,0.392773353,0.011010109,0.062702015,-0.02611969,0.036582326,-0.088821705,0.045280613
